procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0    512 514648 147092 1257956    0    0     1     5   38   73  0  0 100  0  0
 4  0    512 513876 147140 1257992    0    0     0     4   38   80  0  0 100  0  0
 2  0    512 513876 147172 1258000    0    0     0    13   31   61  0  0 100  0  0
 4  0    512 513876 147204 1258012    0    0     0     3   28   56  0  0 100  0  0
 1  0    512 513372 147244 1258024    0    0     0     6   32   62  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0    512 514128 147284 1258040    0    0     0     6   40   76  0  0 100  0  0
 1  0    512 514364 147376 1258084    0    0     0    23   47   86  0  0 100  0  0
 1  0    512 514616 147424 1258100    0    0     0     8   56  111  0  0 100  0  0
 1  0    512 514616 147464 1258112    0    0     0     5   35   67  0  0 100  0  0
 1  0    512 516864 147500 1258120    0    0     0     2   32   63  0  0 100  0  0
 1  0    512 516648 147548 1258112    0    0     0     6   29   60  0  0 100  0  0
 1  0    512 516648 147580 1258116    0    0     0    13   28   58  0  0 100  0  0
 1  0    512 516648 147612 1258128    0    0     0     3   27   58  0  0 100  0  0
 1  0    512 516648 147644 1258140    0    0     0     3   28   59  0  0 100  0  0
 3  0    512 516560 147700 1258356    0    0     0     7   28   62  0  0 100  0  0
 1  0    512 516632 147748 1258280    0    0     0    15   30   60  0  0 100  0  0
 1  0    512 516632 147780 1258288    0    0     0     2   28   58  0  0 100  0  0
 1  0    512 516632 147804 1258300    0    0     0     2   28   60  0  0 100  0  0
 1  0    512 515308 147852 1258420    0    0     1     4   30   63  0  0 100  0  0
 1  0    512 515592 147892 1258400    0    0     0    18   39   75  0  0 100  0  0
 1  0    512 515560 147928 1258412    0    0     0     2   32   62  0  0 100  0  0
 1  0    512 515560 147960 1258408    0    0     0     2   29   60  0  0 100  0  0
 1  0    512 514740 148000 1258672    0    0     3     3   28   61  0  0 100  0  0
 1  0    512 514732 148048 1258724    0    0     0    23   36   73  0  0 100  0  0
 1  0    512 515236 148100 1258736    0    0     0     7   29   59  0  0 100  0  0
 1  0    512 515236 148132 1258748    0    0     0     3   27   57  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0    512 515236 148164 1258752    0    0     0     2   28   57  0  0 100  0  0
 1  0    512 515480 148212 1258772    0    0     0     3   29   63  0  0 100  0  0
 1  0    512 515480 148236 1258784    0    0     0    14   31   59  0  0 100  0  0
 1  0    512 515480 148276 1258792    0    0     0     3   31   59  0  0 100  0  0
 2  0    512 514976 148300 1258812    0    0     0     2   28   57  0  0 100  0  0
 3  0    512 513676 148348 1258828    0    0     0    14   32   64  0  0 100  0  0
 3  0    512 514796 148384 1258704    0    0     0     3   30   61  0  0 100  0  0
 1  0    512 514796 148420 1258720    0    0     0     2   29   59  0  0 100  0  0
 2  0    512 515172 148460 1258728    0    0     0     7   29   60  0  0 100  0  0
 1  0    512 514792 148492 1258740    0    0     0     3   33   61  0  0 100  0  0
 1  0    512 516044 148540 1258752    0    0     0    14   33   65  0  0 100  0  0
 1  0    512 515920 148572 1258764    0    0     0     3   32   61  0  0 100  0  0
 1  0    512 515920 148604 1258780    0    0     0     2   31   59  0  0 100  0  0
 1  0    512 515796 148644 1258788    0    0     0     3   29   58  0  0 100  0  0
 1  0    512 515292 148692 1258816    0    0     0     4   32   65  0  0 100  0  0
 3  0    512 515292 148724 1258820    0    0     0    13   29   59  0  0 100  0  0
 1  0    512 515292 148756 1258832    0    0     0     2   28   57  0  0 100  0  0
 1  0    512 515292 148788 1258844    0    0     0     3   29   60  0  0 100  0  0
 1  0    512 514804 148828 1259064    0    0     2     7   32   64  0  0 100  0  0
 2  0    512 514804 148868 1259076    0    0     0    13   29   59  0  0 100  0  0
 1  0    512 406968 151252 1355472    0    0   347  5516  313  579 13  2 84  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0    512 406968 151284 1355484    0    0     0    31   29   59  0  0 100  0  0
 1  0    512 407568 151348 1355516    0    0     0     8   51   85  2  0 98  0  0
